BOROUGH,POLICE_PRECINCT,CREATED_DATE
BRONX,Precinct 45,12/20/14
BRONX,Precinct 52,12/18/14
BROOKLYN,Precinct 63,12/3/14
BROOKLYN,Precinct 72,12/30/14
BROOKLYN,Precinct 68,12/16/14
BRONX,Precinct 52,12/10/14
BRONX,Precinct 41,12/16/14
QUEENS,Precinct 103,12/15/14
BROOKLYN,Precinct 62,12/19/14
BROOKLYN,Precinct 71,12/16/14
MANHATTAN,Precinct 33,12/2/14
BROOKLYN,Precinct 72,12/31/14
BRONX,Precinct 41,12/31/14
MANHATTAN,Precinct 7,12/5/14
BROOKLYN,Precinct 61,12/31/14
BROOKLYN,Precinct 60,12/31/14
BRONX,Precinct 45,12/15/14
BROOKLYN,Precinct 84,12/2/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 49,12/10/14
BROOKLYN,Unspecified,12/12/14
BROOKLYN,Precinct 94,12/3/14
BROOKLYN,Precinct 88,12/11/14
QUEENS,Precinct 106,12/15/14
BRONX,Precinct 52,12/10/14
BROOKLYN,Precinct 61,12/29/14
QUEENS,Precinct 103,12/15/14
BROOKLYN,Precinct 61,12/31/14
BROOKLYN,Precinct 68,12/22/14
QUEENS,Precinct 113,12/15/14
BROOKLYN,Precinct 68,12/31/14
BROOKLYN,Precinct 75,12/4/14
BRONX,Precinct 40,12/16/14
BRONX,Precinct 47,12/3/14
BRONX,Precinct 49,12/4/14
QUEENS,Precinct 108,12/19/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 68,12/25/14
BROOKLYN,Precinct 69,12/19/14
BROOKLYN,Precinct 63,12/19/14
BRONX,Precinct 40,12/16/14
MANHATTAN,Precinct 5,12/9/14
BRONX,Precinct 48,12/2/14
BROOKLYN,Precinct 68,12/21/14
BROOKLYN,Precinct 68,12/17/14
QUEENS,Precinct 104,12/8/14
BROOKLYN,Precinct 79,12/20/14
BRONX,Precinct 50,12/11/14
BROOKLYN,Precinct 70,12/16/14
BROOKLYN,Precinct 75,12/16/14
BROOKLYN,Precinct 66,12/12/14
BROOKLYN,Precinct 72,12/6/14
MANHATTAN,Precinct 33,12/19/14
QUEENS,Precinct 109,12/8/14
MANHATTAN,Precinct 17,12/16/14
BROOKLYN,Precinct 61,12/29/14
BROOKLYN,Precinct 72,12/11/14
MANHATTAN,Precinct 32,12/26/14
BROOKLYN,Precinct 61,12/29/14
BRONX,Precinct 45,12/15/14
